FACILITY_DESCRIPTION,ASSET_ADDR,ASSET_ZIP,ASSET_ID,BLDG_FLOOR_AREA,YEAR_BUILT,PROPERTY_TYPE,SECTOR,NUMBER_OF_BUILDINGS,ENERGY_STAR_SCORE,SITE_EUI,WEATHER_NORMALIZED_SITE_EUI,SOURCE _EUI,WEATHER_NORMALIZED_SOURCE_EUI,PERCENT_BETTER,TOTAL_GHG_EMISSIONS,ELECTRIC_USE,GAS_USE,STEAM_USE,OIL_USE
Holmesburg Library,7752 Frankford Avenue,19136,39,8087,1907,Library,Libraries,1,N/A,85.7,90.3,151.9,154.4,-35.5,54.4,70203,4533.5,N/A,N/A
Katharine Drexel Library,11939 Knights Road,19154,98,9421,1969,Library,Libraries,1,N/A,97.2,97.3,201.7,198.8,-14.4,81.7,131654,4667.1,N/A,N/A
Kensington Library,2301 Hope Street,19133,1136,5595,1956,Library,Libraries,1,N/A,190.6,200.7,336.7,344.7,42.9,83.5,107118,7011.0,N/A,N/A
Lawncrest Library,6030 Rising Sun Avenue,19111,1082,7241,1961,Library,Libraries,1,N/A,123.7,128.1,249.6,251.5,5.9,78.0,121555,4811.0,N/A,N/A
Lehigh Library,2700 N. 6th Street,19133,676,12614,1906,Library,Libraries,1,N/A,226.5,237.6,451.7,463.3,91.6,246.5,378230,15666.7,N/A,N/A
Logan Library,1345 Wagner Avenue,19141,911,9448,1918,Library,Libraries,1,N/A,162.7,168.4,308.5,308.3,30.9,127.4,182345,9149.2,N/A,N/A
Lovett Memorial Library,6945 Germantown Avenue,19119,669,8087,1924,Library,Libraries,1,N/A,122.9,128.4,223.6,227,-5.1,79.6,107191,6281.1,N/A,N/A
McPheson Square Library,300 F Street,19134,577,9815,1917,Library,Libraries,1,N/A,104.3,107.8,199.2,200,-15.5,85.3,123423,6024.1,N/A,N/A
Nicetown-Tioga Library,3720 N. Broad Street,19140,1162,9670,1961,Library,Libraries,1,N/A,76.1,78.2,163.1,163.7,-30.8,67.3,112821,3505.5,N/A,N/A
Nixon - Cobbs Creek Library,5800 Cobbs Creek Parkway,19143,241,8607,1950,Library,Libraries,1,N/A,139,146.6,224.3,230.4,-4.8,87.2,94520,8738.0,N/A,N/A
Northeast Regional Library & Health Center 10,2230 Cottman Street,19149,281,58009,1962,Library,Libraries,2,N/A,157.6,160.4,335.4,333.9,42.4,832.2,1382143,44276.0,N/A,N/A
Oak Lane Library,6622 N. 12th Street,19126,836,8071,1911,Library,Libraries,1,N/A,94,97.6,178.6,179.1,-24.2,63.0,90418,4502.6,N/A,N/A
Overbrook Park Library,7400 Woodbine Avenue,19151,180,10724,1972,Library,Libraries,1,N/A,121.7,127.2,224.6,227.6,-4.7,105.8,145661,8080.1,N/A,N/A
Paschalville Library,6948 W Woodland Avenue,19142,457,8984,1915,Library,Libraries,1,N/A,172.3,182.3,262.2,268.4,11.2,107.8,102373,11986.5,N/A,N/A
Queen Memorial Library,1201 S. 23rd Street,19146,477,2456,1995,Library,Libraries,1,N/A,157.1,161.9,361.1,362.2,53.3,37.4,67554,1552.3,N/A,N/A
Ramonita Derodrigue Library,600 W. Girard Avenue,19123,1120,9465,1968,Library,Libraries,1,N/A,111.2,114.4,225.6,225.3,-4.3,92.1,144498,5592.3,N/A,N/A
