FACILITY_DESCRIPTION,ASSET_ADDR,ASSET_ZIP,ASSET_ID,BLDG_FLOOR_AREA,YEAR_BUILT,PROPERTY_TYPE,SECTOR,NUMBER_OF_BUILDINGS,ENERGY_STAR_SCORE,SITE_EUI,WEATHER_NORMALIZED_SITE_EUI,SOURCE _EUI,WEATHER_NORMALIZED_SOURCE_EUI,PERCENT_BETTER,TOTAL_GHG_EMISSIONS,ELECTRIC_USE,GAS_USE,STEAM_USE,OIL_USE
Cecil B Moore Rec Center,2551 N 22nd Street,19132,1163,24713,1950,Other - Recreation,Recreation Facilities,1,N/A,198.5,212.3,275.5,288.6,184.4,318.7,232297,41140.6,N/A,N/A
Chalfont Playground,4330 Deerpath Lane,19114,43,3428,1956,Other - Recreation,Recreation Facilities,1,N/A,408.2,429.7,727.2,753.5,651.7,110.3,143514,9097.8,N/A,N/A
Cherashore Playground,10th and Chew,19141,588,2500,1947,Other - Recreation,Recreation Facilities,1,N/A,162.4,168.3,366.5,372.7,278.6,38.8,68698,1716.8,N/A,N/A
Cione Playground,2600 Aramingo Avenue,19125,725,4828,1960,Other - Recreation,Recreation Facilities,1,N/A,112.3,112,292.7,291.6,202.7,61.6,119097,N/A,N/A,135996.2
Cobbs Creek Recreation Center and Laura Sims Skatehouse,210 South 63rd Street,19139,984,66000,1904,Ice/Curling Rink,Recreation Facilities,2,N/A,44,45.8,110.2,113.7,13.7,303.5,592580,8481.0,N/A,N/A
Cohocksink Rec Center,2889 Cedar Street,19134,841,7794,1917,Other - Recreation,Recreation Facilities,1,N/A,119.2,124.4,258.6,260.2,167.3,85.9,145808,4317.6,N/A,N/A
Columbus Square Playground,1200 Wharton Street,19147,966,4484,2005,Other - Recreation,Recreation Facilities,1,N/A,24.6,24.6,77.3,77.3,-20.1,14.0,32369,N/A,N/A,N/A
Deni Playground,4273 ADAMS AV,19124,1846,2325,1947,Other - Recreation,Recreation Facilities,1,N/A,44.6,44.6,139.9,139.9,44.3,13.1,30369,N/A,N/A,N/A
Disston Rec Center,4510 Disston Street,19135,267,27063,1920,Other - Recreation,Recreation Facilities,1,N/A,56.6,60.5,84.8,88.9,-12.4,105.4,96291,12027.6,N/A,N/A
Feltonville Rec Center,231 Wyoming Avenue,19120,1205,20273,1920,Other - Recreation,Recreation Facilities,1,N/A,87.2,92.8,146.3,151.2,51.1,132.8,155583,12366.8,N/A,N/A
Finley Rec Center,7701 Mansfield Avenue,19150,1158,18809,1991,Other - Recreation,Recreation Facilities,1,N/A,103,108.9,176,182.2,81.7,147.7,178980,13261.2,N/A,N/A
Fishtown Rec Center,1202 E. Montgomery Avenue,19125,1856,8979,1900,Other - Recreation,Recreation Facilities,1,N/A,143.9,148.4,266,263.6,174.6,104.9,144624,7987.6,N/A,N/A
Ford Rec Center,631 Snyder Avenue,19148,958,6106,1965,Other - Recreation,Recreation Facilities,1,N/A,53.8,53.8,139.4,139.4,43.9,35.3,70970,863.5,N/A,N/A
Fox Chase Playground,515 Meetinghouse Road,19111,1099,18000,1964,Other - Recreation,Recreation Facilities,1,N/A,81.8,85.1,190.8,194.3,97.1,144.6,264998,5674.6,N/A,N/A
Francis Myers Rec Center,5803 Kingsessing Avenue,19143,965,27475,1962,Other - Recreation,Recreation Facilities,1,N/A,99.5,105.2,168.9,174.9,74.6,207.4,248364,18863.8,N/A,N/A
Francisville Playground,737 Francis Street,19130,33,3851,1970,Other - Recreation,Recreation Facilities,1,N/A,137.1,143.3,265.4,271.9,174.2,44.4,65580,3042.9,N/A,N/A
Guerin Rec Center,2201 S. 16th Street,19145,957,19965,1932,Other - Recreation,Recreation Facilities,1,N/A,95.1,100.7,139,143.6,43.7,128.4,109600,15255.5,N/A,N/A
Hank Gathers Rec Center,2501-19 W Diamond Street,19121,867,16117,1950,Other - Recreation,Recreation Facilities,1,N/A,73.6,78.1,124.5,129.2,28.7,89.7,106631,8224.0,N/A,N/A
Happy Hollow Playground,4875 PULASKI AV,19144,1530,13528,1950,Other - Recreation,Recreation Facilities,1,N/A,112.1,120.2,192.2,200.8,98.4,115.9,141177,10352.0,N/A,N/A
Hayes Playground,9901 PRESIDENT ST,19115,366,2000,1900,Other - Recreation,Recreation Facilities,1,N/A,166,166,521.2,521.2,439,42.0,97287,N/A,N/A,N/A
Hillside Rec Center,201 Fountain Street,19128,784,6597,1949,Other - Recreation,Recreation Facilities,1,N/A,191,201.6,341.4,352.5,252.4,99.6,130308,8152.0,N/A,N/A
Holmesburg Playground,4500 Rhawn Stret,19136,1078,4000,1953,Other - Recreation,Recreation Facilities,1,N/A,139.2,144.9,273.9,276.5,182.9,47.5,71623,3125.1,N/A,N/A
Houseman Rec Center,802 Godfrey Avenue,19124,471,9800,1947,Other - Recreation,Recreation Facilities,1,N/A,136.3,143.6,227.2,235,134.6,99.9,115681,9406.2,N/A,N/A
"Hunting Park Recreation Center, Logan House and Fields",900 West Hunting Park Avenue,19140,1057,10000,1900,Other - Recreation,Recreation Facilities,2,N/A,89.4,94.7,149.5,155,54.4,67.0,77951,6281.1,N/A,N/A
Jardel Rec Center,1400 Cottman Avenue,19111,250,19088,1948,Other - Recreation,Recreation Facilities,1,N/A,78.4,82.8,140.8,145.5,45.5,118.8,156619,9622.1,N/A,N/A
Junod Playground,3301 Mechanicsville Road,19154,367,36003,1900,Other - Recreation,Recreation Facilities,1,N/A,51.9,52.6,120.3,121.1,24.2,182.6,332384,7350.2,N/A,N/A
Kendrick Rec Center,5822 Ridge Avenue,19128,671,27684,1917,Other - Recreation,Recreation Facilities,1,N/A,116.9,124.7,158.7,165.9,64,206.7,139357,27612.1,N/A,N/A
Kingsessing Rec Center,4901 Kingsessing Avenue,19143,974,28759,1913,Other - Recreation,Recreation Facilities,1,N/A,89.5,94.5,158.7,164,63.9,202.1,261142,16818.1,N/A,N/A
Lawncrest Rec Center,6000 Rising Sun Ave,19111,35,18553,1975,Other - Recreation,Recreation Facilities,1,N/A,124.8,132,230.5,237.9,138.2,187.8,258550,14340.6,N/A,N/A
Lee Rec Center,4328 Haverford Avenue,19104,985,21011,1950,Other - Recreation,Recreation Facilities,1,N/A,63.5,65.9,135.4,137.9,39.9,121.7,202488,6435.3,N/A,N/A
Lonnie Young Rec Center,1100 East Chelten Avenue,19138,761,25971,1915,Other - Recreation,Recreation Facilities,1,N/A,82.3,85.7,155.3,157.1,60.4,176.4,250654,12829.4,N/A,N/A
Mander Playground,2140 North 33rd Street,19121,1296,3321,1900,Other - Recreation,Recreation Facilities,1,N/A,171.4,178.8,326.1,329.5,236.7,47.3,68030,3371.8,N/A,N/A
Mantua Playground,517-55 N. 34th Street,19104,988,15880,1900,Other - Recreation,Recreation Facilities,1,N/A,75.9,79.3,155.8,159.4,60.8,106.5,169578,6260.5,N/A,N/A
Martin Luther King Rec Center,2202 Cecil B. Moore Ave.,19121,840,39332,1969,Other - Recreation,Recreation Facilities,1,N/A,101.1,106.6,173.6,179.3,79.3,304.4,371756,27087.8,N/A,N/A
McDevitt Rec Center,3531 Scotts Lane,19129,777,11297,1900,Other - Recreation,Recreation Facilities,1,N/A,60.6,63.2,131.8,135.2,36.2,63.4,107902,3166.2,N/A,N/A
Mcilvain Playground,5200 Penn Street,19124,61,2118,1947,Other - Recreation,Recreation Facilities,1,N/A,122.2,128,241.6,247.8,149.4,22.1,33662,1439.2,N/A,N/A
McVeigh Rec Center,400 East Ontario street,19134,648,19025,1922,Other - Recreation,Recreation Facilities,1,N/A,96.8,102.2,182.6,188.2,88.7,152.0,215818,11061.3,N/A,N/A
Mill Creek Playground,4700 Brown Street,19139,992,2263,1966,Other - Recreation,Recreation Facilities,1,N/A,439.3,457.4,893.2,912.3,822.9,87.1,137093,5263.4,N/A,N/A
Morris Estate Rec Center,1610 Chelten Avenue,19126,850,10970,1961,Other - Recreation,Recreation Facilities,1,N/A,114.1,120.7,193.4,200.3,99.8,94.8,113207,8655.8,N/A,N/A
Mount Airy Playground,7001 GERMANTOWN AV,19119,741,2540,1900,Other - Recreation,Recreation Facilities,1,N/A,162.6,165.4,472.9,475.7,388.3,49.9,107879,N/A,N/A,44988.0
Murphy Rec Center,300 SkunkStreet,19148,953,18115,1950,Other - Recreation,Recreation Facilities,1,N/A,104.6,112.4,173.1,181.2,78.8,140.9,160525,13477.1,N/A,N/A
Northern Liberties Playground,313 Fairmount Avenue,19123,990,17874,1949,Other - Recreation,Recreation Facilities,1,N/A,81.6,87.9,117.3,123.3,21.1,97.3,79113,11894.0,N/A,N/A
Olney Rec Center,200 E. Champlost Street,19120,878,17916,1900,Other - Recreation,Recreation Facilities,1,N/A,96.1,100.5,183.9,188.6,89.9,143.7,208579,10095.0,N/A,N/A
Palumbo Rec Center,700 South 9th Street,19147,973,11017,1900,Other - Recreation,Recreation Facilities,1,N/A,143.3,152.9,243,253.1,151,119.7,142976,10907.1,N/A,N/A
Panati Playground,2141 Clearfield Street,19134,1041,2027,1900,Other - Recreation,Recreation Facilities,1,N/A,121.5,128.9,168.5,174.1,74.1,16.0,11622,2066.3,N/A,N/A
Pelbano (Rhawnhurst) Rec Center,8101 Bustleton Avenue,19152,102,12000,1900,Other - Recreation,Recreation Facilities,1,N/A,139.9,150.1,170.6,181.4,76.2,99.1,40014,15420.0,N/A,N/A
Ramp Playground,3300 Solly Avenue,19152,515,2835,1950,Other - Recreation,Recreation Facilities,1,N/A,129.9,136.9,214,219.5,120.9,27.3,30837,2631.7,N/A,N/A
Rivera Rec Center,3201 N. 5th Street,19140,922,33532,1900,Other - Recreation,Recreation Facilities,1,N/A,85.5,90.3,150.2,155.2,55.2,223.5,283971,18987.2,N/A,N/A
Rizzo Ice Rink,1011 South Front Street,19147,967,3000,1955,Other - Recreation,Recreation Facilities,1,N/A,424.3,454,924.8,984.6,855.6,118.1,201637,5849.3,N/A,N/A
Samuel Rec Center,3539 Gaul Street,19134,938,14079,1900,Other - Recreation,Recreation Facilities,1,N/A,108.3,112.6,202.7,203.2,109.5,125.0,175638,9252.0,N/A,N/A
Shepard Rec Center,57th and Haverford Avenue,19131,996,17783,1928,Other - Recreation,Recreation Facilities,1,N/A,67.1,70.7,148.6,152.3,53.5,112.2,194719,5294.2,N/A,N/A
Shissler Recreation Center,1800 Blair Street,19125,1010,18000,1920,Other - Recreation,Recreation Facilities,1,N/A,50.8,53.2,89.9,92.5,-7.1,71.7,92404,5983.0,N/A,N/A
Shot Tower Playground,103 Carpenter Street,19147,969,7198,1975,Other - Recreation,Recreation Facilities,1,N/A,96,102.6,135.9,142.8,40.4,45.6,35412,5705.4,N/A,N/A
Simons Rec Center and Ice Rink,1600 E WALNUT LA,19138,653,12889,2006,Other - Recreation,Recreation Facilities,1,N/A,333,351.9,678.9,706.2,601.1,377.2,595214,22605.7,N/A,N/A
Simpson Rec Center,1010 Arrott Street,19124,518,9000,1940,Other - Recreation,Recreation Facilities,1,N/A,96,101.1,166.5,171.8,72,66.7,82810,5818.5,N/A,N/A
Smith Playground,2100 S 24th St,19145,1297,2334,1950,Other - Recreation,Recreation Facilities,1,N/A,233.4,238,733,747.5,657.8,69.0,159684,N/A,N/A,N/A
Starr Garden Playground,600 Lombard Street,19147,975,2600,1908,Other - Recreation,Recreation Facilities,1,N/A,110.4,115.4,179.6,183.4,85.5,21.0,23232,2076.6,N/A,N/A
Stenton Park Playground,1701 West Courtland Street,19140,928,2438,1730,Other - Recreation,Recreation Facilities,1,N/A,512.2,543.2,849.6,885.3,777.1,93.1,106583,8851.1,N/A,N/A
Tolentine Rec Center,1025 Mifflin Street,19148,959,32322,1900,Other - Recreation,Recreation Facilities,1,N/A,43.5,44.7,83.1,82.6,-14.2,117.2,169828,8254.8,N/A,N/A
Towey Playground,1876 N. Howard Street,19122,646,8312,1970,Other - Recreation,Recreation Facilities,1,N/A,59.7,63.7,111.7,116.9,15.5,40.7,57139,3012.0,N/A,N/A
Tustin Playground,5901 W Columbia Avenue,19151,229,5107,1900,Other - Recreation,Recreation Facilities,1,N/A,174.7,182.6,358.4,366.7,270.1,78.8,125289,4646.6,N/A,N/A
Vare Rec Center,2600 Morris Street,19145,363,24504,1916,Other - Recreation,Recreation Facilities,1,N/A,111.8,118.4,179.8,186.7,85.7,199.3,214472,20076.8,N/A,N/A
Vogt Rec Center,6700 Cottage Street,19135,1,12812,1949,Other - Recreation,Recreation Facilities,1,N/A,96.4,100.1,192.3,193,98.8,106.7,163539,6774.5,N/A,N/A
Watch Tower Rec Center,200 E Hartnell Lane,19118,729,18039,1900,Other - Recreation,Recreation Facilities,1,N/A,123.5,131.9,189,197.3,95.1,155.9,150062,17157.3,N/A,N/A
Waterview Rec Center,5820 McMahon Street,19144,800,18039,1991,Other - Recreation,Recreation Facilities,1,N/A,76.4,82,96.3,101.5,-0.5,83.4,40913,12377.1,N/A,N/A
Weccacoe Playground,405-25 Queen Street,19147,970,4500,1900,Other - Recreation,Recreation Facilities,1,N/A,11.3,11.3,35.3,35.3,-63.5,6.4,14840,N/A,N/A,N/A
West Mill Creek Playground,5101 Reno Street,19139,994,2344,1900,Other - Recreation,Recreation Facilities,1,N/A,268.1,278.3,581.7,592.3,501.1,58.1,98647,2919.5,N/A,N/A
Wissinoming Park Playground,5801  Frankford Avenue,19135,545,2601,1913,Other - Recreation,Recreation Facilities,1,N/A,526.4,550.5,1085.5,1110.2,1020,121.5,194307,7062.4,N/A,N/A
Ziehler Playground,5530 N. B Street,19120,1976,3664,1970,Other - Recreation,Recreation Facilities,1,N/A,98.2,101.6,194.5,195.5,100.8,30.9,46988,1994.3,N/A,N/A
